t,theta,omega
0.00000000,0.20000000,0.00000000
0.01000000,0.20000000,-0.01448979
0.02000000,0.19985510,-0.02890914
0.03000000,0.19956601,-0.04324646
0.04000000,0.19913355,-0.05749029
0.05000000,0.19855864,-0.07162930
0.06000000,0.19784235,-0.08565232
0.07000000,0.19698583,-0.09954830
0.08000000,0.19599034,-0.11330637
0.09000000,0.19485728,-0.12691579
0.10000000,0.19358812,-0.14036603
0.11000000,0.19218446,-0.15364673
0.12000000,0.19064799,-0.16674770
0.13000000,0.18898052,-0.17965896
0.14000000,0.18718393,-0.19237072
0.15000000,0.18526022,-0.20487343
0.16000000,0.18321149,-0.21715772
0.17000000,0.18103991,-0.22921447
0.18000000,0.17874776,-0.24103477
0.19000000,0.17633742,-0.25260996
0.20000000,0.17381132,-0.26393163
0.21000000,0.17117200,-0.27499161
0.22000000,0.16842209,-0.28578200
0.23000000,0.16556427,-0.29629513
0.24000000,0.16260131,-0.30652364
0.25000000,0.15953608,-0.31646043
0.26000000,0.15637147,-0.32609866
0.27000000,0.15311049,-0.33543180
0.28000000,0.14975617,-0.34445362
0.29000000,0.14631163,-0.35315814
0.30000000,0.14278005,-0.36153973
0.31000000,0.13916465,-0.36959304
0.32000000,0.13546872,-0.37731304
0.33000000,0.13169559,-0.38469499
0.34000000,0.12784864,-0.39173450
0.35000000,0.12393130,-0.39842747
0.36000000,0.11994702,-0.40477015
0.37000000,0.11589932,-0.41075910
0.38000000,0.11179173,-0.41639121
0.39000000,0.10762782,-0.42166370
0.40000000,0.10341118,-0.42657413
0.41000000,0.09914544,-0.43112039
0.42000000,0.09483424,-0.43530070
0.43000000,0.09048123,-0.43911364
0.44000000,0.08609009,-0.44255809
0.45000000,0.08166451,-0.44563331
0.46000000,0.07720818,-0.44833885
0.47000000,0.07272479,-0.45067463
0.48000000,0.06821804,-0.45264091
0.49000000,0.06369164,-0.45423826
0.50000000,0.05914925,-0.45546759
0.51000000,0.05459458,-0.45633015
0.52000000,0.05003128,-0.45682751
0.53000000,0.04546300,-0.45696158
0.54000000,0.04089338,-0.45673458
0.55000000,0.03632604,-0.45614904
0.56000000,0.03176455,-0.45520782
0.57000000,0.02721247,-0.45391410
0.58000000,0.02267333,-0.45227134
0.59000000,0.01815062,-0.45028332
0.60000000,0.01364778,-0.44795411
0.61000000,0.00916824,-0.44528808
0.62000000,0.00471536,-0.44228987
0.63000000,0.00029246,-0.43896441
0.64000000,-0.00409718,-0.43531690
0.65000000,-0.00845035,-0.43135280
0.66000000,-0.01276388,-0.42707784
0.67000000,-0.01703466,-0.42249799
0.68000000,-0.02125964,-0.41761946
0.69000000,-0.02543583,-0.41244872
0.70000000,-0.02956032,-0.40699244
0.71000000,-0.03363024,-0.40125753
0.72000000,-0.03764282,-0.39525109
0.73000000,-0.04159533,-0.38898044
0.74000000,-0.04548513,-0.38245309
0.75000000,-0.04930967,-0.37567674
0.76000000,-0.05306643,-0.36865925
0.77000000,-0.05675303,-0.36140865
0.78000000,-0.06036711,-0.35393315
0.79000000,-0.06390644,-0.34624109
0.80000000,-0.06736885,-0.33834094
0.81000000,-0.07075226,-0.33024131
0.82000000,-0.07405468,-0.32195094
0.83000000,-0.07727419,-0.31347866
0.84000000,-0.08040897,-0.30483340
0.85000000,-0.08345731,-0.29602421
0.86000000,-0.08641755,-0.28706019
0.87000000,-0.08928815,-0.27795052
0.88000000,-0.09206766,-0.26870445
0.89000000,-0.09475470,-0.25933128
0.90000000,-0.09734801,-0.24984033
0.91000000,-0.09984642,-0.24024099
0.92000000,-0.10224883,-0.23054265
0.93000000,-0.10455425,-0.22075473
0.94000000,-0.10676180,-0.21088663
0.95000000,-0.10887067,-0.20094777
0.96000000,-0.11088014,-0.19094756
0.97000000,-0.11278962,-0.18089537
0.98000000,-0.11459857,-0.17080055
0.99000000,-0.11630658,-0.16067241
1.00000000,-0.11791330,-0.15052021
1.01000000,-0.11941851,-0.14035316
1.02000000,-0.12082204,-0.13018040
1.03000000,-0.12212384,-0.12001100
1.04000000,-0.12332395,-0.10985394
1.05000000,-0.12442249,-0.09971814
1.06000000,-0.12541967,-0.08961239
1.07000000,-0.12631580,-0.07954540
1.08000000,-0.12711125,-0.06952577
1.09000000,-0.12780651,-0.05956195
1.10000000,-0.12840213,-0.04966232
1.11000000,-0.12889875,-0.03983507
1.12000000,-0.12929710,-0.03008831
1.13000000,-0.12959798,-0.02042995
1.14000000,-0.12980228,-0.01086778
1.15000000,-0.12991096,-0.00140944
1.16000000,-0.12992506,0.00793761
1.17000000,-0.12984568,0.01716608
1.18000000,-0.12967402,0.02626884
1.19000000,-0.12941133,0.03523895
1.20000000,-0.12905894,0.04406965
1.21000000,-0.12861824,0.05275438
1.22000000,-0.12809070,0.06128674
1.23000000,-0.12747783,0.06966058
1.24000000,-0.12678123,0.07786992
1.25000000,-0.12600253,0.08590899
1.26000000,-0.12514344,0.09377224
1.27000000,-0.12420572,0.10145432
1.28000000,-0.12319117,0.10895013
1.29000000,-0.12210167,0.11625476
1.30000000,-0.12093912,0.12336353
1.31000000,-0.11970549,0.13027201
1.32000000,-0.11840277,0.13697597
1.33000000,-0.11703301,0.14347145
1.34000000,-0.11559829,0.14975468
1.35000000,-0.11410075,0.15582217
1.36000000,-0.11254253,0.16167065
1.37000000,-0.11092582,0.16729707
1.38000000,-0.10925285,0.17269868
1.39000000,-0.10752586,0.17787290
