t,theta,omega
0.00000000,0.20000000,0.00000000
0.01000000,0.20000000,-0.01948946
0.02000000,0.19980511,-0.03888148
0.03000000,0.19941629,-0.05815779
0.04000000,0.19883471,-0.07730034
0.05000000,0.19806171,-0.09629125
0.06000000,0.19709880,-0.11511286
0.07000000,0.19594767,-0.13374774
0.08000000,0.19461019,-0.15217870
0.09000000,0.19308840,-0.17038878
0.10000000,0.19138452,-0.18836133
0.11000000,0.18950090,-0.20607994
0.12000000,0.18744010,-0.22352851
0.13000000,0.18520482,-0.24069126
0.14000000,0.18279791,-0.25755271
0.15000000,0.18022238,-0.27409772
0.16000000,0.17748140,-0.29031149
0.17000000,0.17457829,-0.30617960
0.18000000,0.17151649,-0.32168797
0.19000000,0.16829961,-0.33682292
0.20000000,0.16493138,-0.35157117
0.21000000,0.16141567,-0.36591983
0.22000000,0.15775647,-0.37985643
0.23000000,0.15395791,-0.39336895
0.24000000,0.15002422,-0.40644578
0.25000000,0.14595976,-0.41907578
0.26000000,0.14176900,-0.43124827
0.27000000,0.13745652,-0.44295302
0.28000000,0.13302699,-0.45418032
0.29000000,0.12848519,-0.46492091
0.30000000,0.12383598,-0.47516605
0.31000000,0.11908432,-0.48490750
0.32000000,0.11423524,-0.49413755
0.33000000,0.10929387,-0.50284898
0.34000000,0.10426538,-0.51103513
0.35000000,0.09915502,-0.51868986
0.36000000,0.09396813,-0.52580759
0.37000000,0.08871005,-0.53238327
0.38000000,0.08338622,-0.53841240
0.39000000,0.07800209,-0.54389105
0.40000000,0.07256318,-0.54881584
0.41000000,0.06707502,-0.55318396
0.42000000,0.06154319,-0.55699317
0.43000000,0.05597325,-0.56024178
0.44000000,0.05037084,-0.56292868
0.45000000,0.04474155,-0.56505333
0.46000000,0.03909102,-0.56661574
0.47000000,0.03342486,-0.56761652
0.48000000,0.02774869,-0.56805680
0.49000000,0.02206812,-0.56793831
0.50000000,0.01638874,-0.56726333
0.51000000,0.01071611,-0.56603468
0.52000000,0.00505576,-0.56425573
0.53000000,-0.00058680,-0.56193042
0.54000000,-0.00620610,-0.55906321
0.55000000,-0.01179673,-0.55565908
0.56000000,-0.01735332,-0.55172355
0.57000000,-0.02287056,-0.54726266
0.58000000,-0.02834318,-0.54228294
0.59000000,-0.03376601,-0.53679143
0.60000000,-0.03913393,-0.53079565
0.61000000,-0.04444188,-0.52430362
0.62000000,-0.04968492,-0.51732378
0.63000000,-0.05485816,-0.50986508
0.64000000,-0.05995681,-0.50193687
0.65000000,-0.06497618,-0.49354894
0.66000000,-0.06991167,-0.48471152
0.67000000,-0.07475878,-0.47543521
0.68000000,-0.07951314,-0.46573103
0.69000000,-0.08417045,-0.45561035
0.70000000,-0.08872655,-0.44508493
0.71000000,-0.09317740,-0.43416684
0.72000000,-0.09751907,-0.42286853
0.73000000,-0.10174775,-0.41120272
0.74000000,-0.10585978,-0.39918247
0.75000000,-0.10985160,-0.38682109
0.76000000,-0.11371981,-0.37413221
0.77000000,-0.11746114,-0.36112966
0.78000000,-0.12107243,-0.34782755
0.79000000,-0.12455071,-0.33424021
0.80000000,-0.12789311,-0.32038215
0.81000000,-0.13109693,-0.30626810
0.82000000,-0.13415961,-0.29191295
0.83000000,-0.13707874,-0.27733178
0.84000000,-0.13985206,-0.26253977
0.85000000,-0.14247746,-0.24755226
0.86000000,-0.14495298,-0.23238470
0.87000000,-0.14727683,-0.21705263
0.88000000,-0.14944735,-0.20157169
0.89000000,-0.15146307,-0.18595756
0.90000000,-0.15332265,-0.17022599
0.91000000,-0.15502491,-0.15439277
0.92000000,-0.15656883,-0.13847370
0.93000000,-0.15795357,-0.12248461
0.94000000,-0.15917842,-0.10644129
0.95000000,-0.16024283,-0.09035954
0.96000000,-0.16114643,-0.07425511
0.97000000,-0.16188898,-0.05814370
0.98000000,-0.16247041,-0.04204095
0.99000000,-0.16289082,-0.02596243
1.00000000,-0.16315045,-0.00992360
1.01000000,-0.16324968,0.00606017
1.02000000,-0.16318908,0.02197362
1.03000000,-0.16296935,0.03780165
1.04000000,-0.16259133,0.05352926
1.05000000,-0.16205604,0.06914164
1.06000000,-0.16136462,0.08462413
1.07000000,-0.16051838,0.09996227
1.08000000,-0.15951876,0.11514178
1.09000000,-0.15836734,0.13014858
1.10000000,-0.15706585,0.14496881
1.11000000,-0.15561616,0.15958885
1.12000000,-0.15402028,0.17399531
1.13000000,-0.15228032,0.18817506
1.14000000,-0.15039857,0.20211521
1.15000000,-0.14837742,0.21580318
1.16000000,-0.14621939,0.22922664
1.17000000,-0.14392712,0.24237357
1.18000000,-0.14150339,0.25523225
1.19000000,-0.13895106,0.26779130
1.20000000,-0.13627315,0.28003962
1.21000000,-0.13347275,0.29196648
1.22000000,-0.13055309,0.30356148
1.23000000,-0.12751748,0.31481458
1.24000000,-0.12436933,0.32571610
1.25000000,-0.12111217,0.33625672
1.26000000,-0.11774960,0.34642751
1.27000000,-0.11428533,0.35621994
1.28000000,-0.11072313,0.36562584
1.29000000,-0.10706687,0.37463747
1.30000000,-0.10332049,0.38324749
1.31000000,-0.09948802,0.39144897
1.32000000,-0.09557353,0.39923540
1.33000000,-0.09158118,0.40660072
1.34000000,-0.08751517,0.41353928
1.35000000,-0.08337978,0.42004587
1.36000000,-0.07917932,0.42611572
1.37000000,-0.07491816,0.43174452
1.38000000,-0.07060071,0.43692839
1.39000000,-0.06623143,0.44166393
1.40000000,-0.06181479,0.44594816
1.41000000,-0.05735531,0.44977859
1.42000000,-0.05285752,0.45315317
1.43000000,-0.04832599,0.45607031
1.44000000,-0.04376529,0.45852890
1.45000000,-0.03918000,0.46052826
1.46000000,-0.03457472,0.46206819
1.47000000,-0.02995404,0.46314895
1.48000000,-0.02532255,0.46377126
1.49000000,-0.02068483,0.46393628
1.50000000,-0.01604547,0.46364564
1.51000000,-0.01140901,0.46290140
1.52000000,-0.00678000,0.46170609
1.53000000,-0.00216294,0.46006268
1.54000000,0.00243769,0.45797455
1.55000000,0.00701743,0.45544554
1.56000000,0.01157189,0.45247990
1.57000000,0.01609669,0.44908233
1.58000000,0.02058751,0.44525790
1.59000000,0.02504009,0.44101212
1.60000000,0.02945021,0.43635088
1.61000000,0.03381372,0.43128048
1.62000000,0.03812652,0.42580758
1.63000000,0.04238460,0.41993924
1.64000000,0.04658399,0.41368286
1.65000000,0.05072082,0.40704621
1.66000000,0.05479128,0.40003740
